name,month,stars
meteor/meteor,2013 07 x,9278
meteor/meteor,2013 08 x,9532
meteor/meteor,2013 09 x,9769
meteor/meteor,2013 10 x,10153
meteor/meteor,2013 11 x,10562
meteor/meteor,2013 12 x,10920
meteor/meteor,2014 01 x,11248
meteor/meteor,2014 02 x,11557
meteor/meteor,2014 03 x,11961
meteor/meteor,2014 04 x,12348
meteor/meteor,2014 05 x,12651
meteor/meteor,2014 06 x,16955
meteor/meteor,2014 07 x,17625
meteor/meteor,2014 08 x,18239
meteor/meteor,2014 09 x,18805
meteor/meteor,2014 10 x,19178
